pub,pubLabel
http://rdfh.ch/0112/RYxIrK54SK6mp6AYCmM0-Q,pub_test
http://rdfh.ch/0112/0J2SMGqyQv6NBEzYA3EVgg,"pub_Auberjonois René_Avant les autruches, après les iguanes…, Lettres à Gustave Roud, 1922-1954_1999"
http://rdfh.ch/0112/FkUAfEe-QdC-7o9XLGE1ng,pub_Boller Willy_Hokusai. Un maître de l’estampe japonaise_Clairefontaine_1955
http://rdfh.ch/0112/qzxoeVLtSnCGc2qUjgjmrA,"pub_Brentano, Hölderlin, Novalis_Lettres sur le romantisme allemand_1974"
http://rdfh.ch/0112/bNtAin75QwKTPJBejYPHSQ,"pub_Brock-Sulzer Elisabeth_Gotthard Schuh, Instants volés, Instants donnés_1956"
http://rdfh.ch/0112/Gq6_k3rcTK2lkbbcRJxwkg,"pub_Chappaz Maurice, Jaccottet Philippe, Chessex Jacques_Adieu à Gustave Roud_1977"
http://rdfh.ch/0112/Klfs7481Sw-q7UXwMfPmLg,"pub_Chessex Jacques_Après la journée des lettres vaudoises, Signification d'une fête_1957"
http://rdfh.ch/0112/ASmsuPt5S-Gz_UlA-dZWTg,"pub_Collectif_Gustave Roud, la plume et le regard_2015"
http://rdfh.ch/0112/11bg5QLsR6-EbugX4m7qdA,"pub_Collectif_Gustave Roud, le monde des signes et l'univers des choses_2015"
http://rdfh.ch/0112/EPipawlYRuSizXzbDkgBDg,pub_Collectif_Hommage à Gustave Roud_1957
http://rdfh.ch/0112/tu-LzwEFTpymTqUAkSkV2g,"pub_Fischer Hans_Pitchi, le petit chat qui désirait toujours autre chose. Une histoire un peu triste, mais qui finit bien_1948"
http://rdfh.ch/0112/sq-7aGgsSDultOS-YbXbuw,pub_Geiser Bernhard_L'Œuvre gravé de Picasso_1955
http://rdfh.ch/0112/hw0_PrZeSHWWs69Iz7PXnA,"pub_Rome, Peintres et écrivains_1954"
http://rdfh.ch/0112/ci_KcPFDRV-6xOT-hDZBYQ,"pub_Nietzsche Friedrich, Rilke Rainer Maria, Goethe Johann Wolfgang_Venise, album d’artistes_Mermod_1945"
http://rdfh.ch/0112/IGTyFNIjR4SnXrsNTGNu9Q,pub_Grimm _La Coquinaille. Un conte des frères Grimm dessiné par Hans Fischer et mis en français par Gustave Roud_1948
http://rdfh.ch/0112/CTQxl0YhTO6EYKSmRWETaA,"pub_Gsteiger Manfred_Westwind, Aufsätze zur Literatur der romanischen Schweiz_1968"
http://rdfh.ch/0112/ama6KAkxRi2YP4YLke65Hw,pub_Gudmundsson Kristmann_Rive bleue_1944
http://rdfh.ch/0112/v2yo565fSyiy3AQov4g5mA,pub_Heym Georg_Campagne perdue_1972
http://rdfh.ch/0112/sE0pGZmtQWG_uaF1cUiYQw,pub_Hölderlin Friedrich_Poèmes de Hölderlin. Version française de Gustave Roud_1942
http://rdfh.ch/0112/KzSSYE1qRtWFlC56xG0QMQ,pub_Hölderlin Friedrich_Quelques poèmes des temps obscurs_2006
http://rdfh.ch/0112/hSCCMqFYT5Wi15RAmoUp_Q,pub_Hölderlin Friedrich_Oeuvres_1967
http://rdfh.ch/0112/9AXMNrhMSDu9o7U8WKj4Rw,pub_Béguin Albert_L'Âme romantique et le rêve_1939
http://rdfh.ch/0112/nMjMvpxPQzqn5c7ku80_1Q,"pub_Hollaert Grietje_La Manière de Gustave Roud, Radiographie d'un style_1991"
http://rdfh.ch/0112/jmRt7XVURDWZjMsXvfqqlQ,pub_Huttinger Edouard_La Peinture hollandaise au XVIIe siècle_1956
http://rdfh.ch/0112/obd_3esZRvyLYFGRCI8elQ,pub_Jaccottet Philippe_Gustave Roud_1968
http://rdfh.ch/0112/rVpBuBzJSr6Rx3gs2KaZKg,"pub_Jaquier Claire_Gustave Roud et la tentation du romantisme, Fables et figures de l'esthétique littéraire romande 1930-1940_1987"
http://rdfh.ch/0112/dlF6_EtoQNCqfW5b1X5tfg,"pub_Oeschger Johannes_Dormi, che vuoi di più?_1957"
http://rdfh.ch/0112/FudT_6M1R12vTO_G-E6sKg,pub_Keller Urs_Gustave Roud ou la recherche d'un paradis terrestre_1971
http://rdfh.ch/0112/B6RtyVSoRsCock270UKaVg,pub_Kobilijac Ursula_Echoes of Germanic Poetry in the Work of Gustave Roud_1993
http://rdfh.ch/0112/06tpyn6xSWm8faF9vuhg9Q,pub_Lejeune Robert_Honoré Daumier_1953
